year,price
2024,5000.0
2025,5289.0
2026,5289.0
2027,5289.0
2028,7500.0
2029,8041.2
2030,8699.5
2031,9500.3
2032,10474.4
2033,11659.4
2034,13100.9
2035,14854.5
2036,16987.6
2037,19582.5
2038,22739.1
2039,26578.9
2040,31250.0
2041,31625.0
2042,32000.0
2043,32375.0
2044,32750.0
2045,33125.0
2046,33500.0
2047,33875.0
2048,34250.0
2049,34625.0
2050,35000.0
